annotation_id,source_id,line_number,tag,keyword,value
1,1,13,begin,@begin,led_highlighter
2,1,13,desc,@desc,Find Led highlights of the video
3,1,14,in,@in,video_file
4,1,14,desc,@desc,Input Video File
5,1,15,param,@param,frame_inc
6,1,15,as,@as,Frame_Increment
7,1,16,param,@param,delay
8,1,17,param,@param,histogram
9,1,17,desc,@desc,whether to use histogram calculation to find the best margin
10,1,18,out,@out,saved_image
11,1,18,desc,@desc,saved image from the video
12,1,18,uri,@uri,file:../data/{frame}.jpg
13,1,19,out,@out,formated_centers
14,1,20,out,@out,num_centers
15,1,20,desc,@desc,Number of LED Highlights
16,1,44,begin,@begin,display_img
17,1,44,as,@as,display_image
18,1,44,desc,@desc,One liner that displays the given image on screen
19,1,45,in,@in,image
20,1,45,as,@as,gray_image
21,1,46,in,@in,image
22,1,46,as,@as,thresholded_image
23,1,47,in,@in,image
24,1,47,as,@as,led_image
25,1,48,param,@param,delay
26,1,83,end,@end,display_img
27,1,214,begin,@begin,grab_images
28,1,214,desc,@desc,save image for each frame increment of the video
29,1,215,param,@param,frame_inc
30,1,215,as,@as,Frame_Increment
31,1,216,param,@param,delay
32,1,217,in,@in,video_file
33,1,217,desc,@desc,Input Video File
34,1,218,out,@out,saved_image
35,1,218,desc,@desc,saved image from the video
36,1,218,uri,@uri,file:../data/{frame}.jpg
37,1,225,end,@end,grab_images
38,1,242,begin,@begin,to_gray
39,1,242,desc,@desc,Converts the input in grey levels
40,1,243,in,@in,saved_image
41,1,243,desc,@desc,saved image from the video
42,1,243,uri,@uri,file:../data/{frame}.jpg
43,1,244,out,@out,gray_img
44,1,244,as,@as,gray_image
45,1,244,desc,@desc,A one channel image
46,1,249,end,@end,to_gray
47,1,255,begin,@begin,extract_bright
48,1,255,desc,@desc,Extracts brightest part of the image
49,1,256,in,@in,gray_img
50,1,256,as,@as,gray_image
51,1,256,desc,@desc,A one channel image
52,1,257,param,@param,histogram
53,1,257,desc,@desc,whether to use histogram calculation to find the best margin
54,1,258,out,@out,thresh_img
55,1,258,as,@as,thresholded_image
56,1,258,desc,@desc,A thresholded image
57,1,263,end,@end,extract_bright
58,1,269,begin,@begin,find_leds
59,1,269,desc,@desc,Find the brightest pixels in an image
60,1,270,in,@in,thresh_img
61,1,270,as,@as,thresholded_image
62,1,270,desc,@desc,A thresholded image
63,1,271,out,@out,out_img
64,1,271,as,@as,led_image
65,1,272,out,@out,region
66,1,272,as,@as,led_region
67,1,272,desc,@desc,Rectangles of led region
68,1,277,end,@end,find_leds
69,1,283,begin,@begin,leds_position
70,1,283,desc,@desc,Using the regions in input to calculate the position of found leds
71,1,284,in,@in,regions
72,1,284,as,@as,led_region
73,1,284,desc,@desc,Rectangles of led region
74,1,285,out,@out,centers
75,1,285,desc,@desc,Centers of rectangle led regions
76,1,289,end,@end,leds_position
77,1,293,begin,@begin,print_info
78,1,293,desc,@desc,Print the result of this script
79,1,294,in,@in,centers
80,1,294,desc,@desc,Centers of rectangle led regions
81,1,295,out,@out,formated_centers
82,1,296,out,@out,num_centers
83,1,296,desc,@desc,Number of LED Highlights
84,1,305,end,@end,print_info
85,1,310,end,@end,led_highlighter
