data_id,data_name,qualified_data_name
1,video_file,[video_file]
2,Frame_Increment,[Frame_Increment]
3,delay,[delay]
4,histogram,[histogram]
5,saved_image,[saved_image]
6,formated_centers,[formated_centers]
7,num_centers,[num_centers]
8,gray_image,led_highlighter[gray_image]
9,thresholded_image,led_highlighter[thresholded_image]
10,led_image,led_highlighter[led_image]
11,delay,led_highlighter[delay]
12,Frame_Increment,led_highlighter[Frame_Increment]
13,video_file,led_highlighter[video_file]
14,saved_image,led_highlighter[saved_image]
15,histogram,led_highlighter[histogram]
16,led_region,led_highlighter[led_region]
17,centers,led_highlighter[centers]
18,formated_centers,led_highlighter[formated_centers]
19,num_centers,led_highlighter[num_centers]
